Taxon,B.0,B.1,B.2,B.3,B.7,B.14,B.21,B.28,B.35,B.42
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales,0.0031,0.0029,0.0076,0.0033,0.0012,0.0082,0.0073,0.0003,0.0034,0.0009
Archaea;Euryarchaeota;Thermoplasmata;E2,0.0001,0.0001,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0004,0.0001
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.0059,0.0069,0.0104,0.0075,0.0105,0.0210,0.0263,0.0076,0.0105,0.0182
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,0.0000,0.0000
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales,0.0098,0.0057,0.0130,0.0071,0.0129,0.0212,0.0113,0.0042,0.0162,0.0047
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.1372,0.1451,0.2318,0.1373,0.1457,0.1728,0.2143,0.1764,0.0954,0.2261
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0.0001,0.0003,0.0001,0.0002,0.0060,0.0064,0.0021,0.0017,0.0007,0.0007
Bacteria;Bacteroidetes;Saprospirae;Saprospirales,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0000
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,0.0002,0.0001,0.0001,0.0001,0.0000,0.0004,0.0001,0.0001,0.0000,0.0001
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,0.0011,0.0033,0.0031,0.0018,0.0024,0.0022,0.0012,0.0036,0.0021,0.0025
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales,0.1141,0.0815,0.1049,0.1103,0.0991,0.1576,0.1191,0.2105,0.1699,0.1647
Bacteria;Fibrobacteres;TG3;Other,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bacteria;Firmicutes;Bacilli;Other,0.0004,0.0007,0.0010,0.0001,0.0002,0.0004,0.0001,0.0000,0.0001,0.0001
Bacteria;Firmicutes;Bacilli;Lactobacillales,0.0056,0.0063,0.0212,0.0075,0.0082,0.0528,0.0248,0.0180,0.0133,0.0093
Bacteria;Firmicutes;Bacilli;Turicibacterales,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000
Bacteria;Firmicutes;Clostridia;Clostridiales,0.1300,0.1410,0.1452,0.1275,0.1653,0.1766,0.1014,0.0603,0.1113,0.0727
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales,0.0004,0.0003,0.0005,0.0001,0.0002,0.0008,0.0009,0.0003,0.0002,0.0001
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,0.0012,0.0008,0.0033,0.0023,0.0014,0.0016,0.0035,0.0051,0.0076,0.0060
Bacteria;Planctomycetes;Other;Other,0.0003,0.0003,0.0000,0.0007,0.0001,0.0002,0.0002,0.0001,0.0001,0.0003
Bacteria;Planctomycetes;HA49;PeHg47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bacteria;Planctomycetes;Planctomycetia;Pirellulales,0.0015,0.0023,0.0023,0.0014,0.0012,0.0026,0.0035,0.0007,0.0023,0.0022
Bacteria;Proteobacteria;Alphaproteobacteria;Other,0.0003,0.0003,0.0003,0.0007,0.0005,0.0002,0.0000,0.0005,0.0003,0.0003
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
Bacteria;Proteobacteria;Alphaproteobacteria;RF32,0.0009,0.0005,0.0023,0.0004,0.0007,0.0004,0.0002,0.0004,0.0003,0.0003
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,0.0001,0.0011,0.0005,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,0.0009,0.0008,0.0007,0.0008,0.0011,0.0010,0.0004,0.0055,0.0011,0.0007
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,0.0108,0.0107,0.0117,0.0102,0.0079,0.0048,0.0051,0.0084,0.0062,0.0058
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,0.0000,0.0010,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,0.0009,0.0005,0.0020,0.0009,0.0010,0.0012,0.0012,0.0003,0.0008,0.0005
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
