Taxon,C.42,C.49
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales,0.0010,0.0007
Archaea;Euryarchaeota;Thermoplasmata;E2,0.0000,0.0003
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.0027,0.0015
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales,0.0000,0.0000
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales,0.0015,0.0011
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.1678,0.1725
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0.0017,0.0001
Bacteria;Bacteroidetes;Saprospirae;Saprospirales,0.0000,0.0000
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0.0003,0.0001
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,0.0000,0.0004
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,0.0011,0.0007
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales,0.1527,0.2109
Bacteria;Fibrobacteres;TG3;Other,0.0000,0.0000
Bacteria;Firmicutes;Bacilli;Other,0.0000,0.0001
Bacteria;Firmicutes;Bacilli;Lactobacillales,0.0176,0.0113
Bacteria;Firmicutes;Bacilli;Turicibacterales,0.0000,0.0000
Bacteria;Firmicutes;Clostridia;Clostridiales,0.0524,0.0627
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales,0.0003,0.0001
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,0.0088,0.0072
Bacteria;Planctomycetes;Other;Other,0.0011,0.0015
Bacteria;Planctomycetes;HA49;PeHg47,0.0000,0.0000
Bacteria;Planctomycetes;Planctomycetia;Pirellulales,0.0036,0.0052
Bacteria;Proteobacteria;Alphaproteobacteria;Other,0.0002,0.0001
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,0.0004,0.0015
Bacteria;Proteobacteria;Alphaproteobacteria;RF32,0.0009,0.0005
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,0.0001,0.0000
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,0.0023,0.0025
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,0.0046,0.0057
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,0.0036,0.0069
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales,0.0001,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Procabacteriales,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales,0.0064,0.0035
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales,0.0010,0.0019
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales,0.0189,0.0201
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,0.0000,0.0000
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,0.0014,0.0111
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales,0.0013,0.0157
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,0.0026,0.0138
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,0.0015,0.0001
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,0.0005,0.0013
Bacteria;Proteobacteria;TA18;CV90,0.0000,0.0001
Bacteria;SR1;Other;Other,0.0020,0.0044
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.0000,0.0001
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.5064,0.4006
Bacteria;Synergistetes;Synergistia;Synergistales,0.0109,0.0126
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0085,0.0073
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0001,0.0000
Bacteria;Verrucomicrobia;Opitutae;Other,0.0000,0.0000
Bacteria;Verrucomicrobia;Opitutae;HA64,0.0010,0.0013
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0.0000,0.0003
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.0000,0.0000
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0.0000,0.0000
Bacteria;ZB3;Rs-J96;Other,0.0016,0.0021
Unassigned;Other;Other;Other,0.0111,0.0101
Birch,0.0000,0.0000
Cardboard,0.1000,0.1000
Maple,0.0000,0.0000
Oak,0.0000,0.0000
Original Mulch,0.0000,0.0000
Spruce,0.0000,0.0000
