Taxon,O.7,O.14,O.21,O.28
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales,0.0050,0.0051,0.0170,0.0016
Archaea;Euryarchaeota;Thermoplasmata;E2,0.0001,0.0000,0.0000,0.0000
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.0099,0.0138,0.0169,0.0119
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales,0.0000,0.0001,0.0000,0.0000
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales,0.0091,0.0089,0.0171,0.0230
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.1165,0.1251,0.1511,0.1769
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0.0002,0.0163,0.0003,0.0001
Bacteria;Bacteroidetes;Saprospirae;Saprospirales,0.0000,0.0000,0.0000,0.0000
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0.0000,0.0002,0.0001,0.0000
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,0.0002,0.0000,0.0001,0.0000
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,0.0018,0.0015,0.0011,0.0053
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales,0.1027,0.1532,0.1231,0.1613
Bacteria;Fibrobacteres;TG3;Other,0.0000,0.0000,0.0000,0.0000
Bacteria;Firmicutes;Bacilli;Other,0.0001,0.0005,0.0000,0.0000
Bacteria;Firmicutes;Bacilli;Lactobacillales,0.0064,0.0105,0.0122,0.0052
Bacteria;Firmicutes;Bacilli;Turicibacterales,0.0002,0.0001,0.0000,0.0000
Bacteria;Firmicutes;Clostridia;Clostridiales,0.1655,0.1915,0.1387,0.1300
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales,0.0002,0.0009,0.0004,0.0007
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,0.0010,0.0048,0.0054,0.0021
Bacteria;Planctomycetes;Other;Other,0.0005,0.0002,0.0001,0.0000
Bacteria;Planctomycetes;HA49;PeHg47,0.0000,0.0000,0.0000,0.0000
Bacteria;Planctomycetes;Planctomycetia;Pirellulales,0.0017,0.0004,0.0011,0.0012
Bacteria;Proteobacteria;Alphaproteobacteria;Other,0.0006,0.0001,0.0001,0.0003
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,0.0001,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Alphaproteobacteria;RF32,0.0001,0.0003,0.0000,0.0002
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,0.0000,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,0.0005,0.0002,0.0001,0.0002
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,0.0080,0.0056,0.0091,0.0058
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,0.0000,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,0.0004,0.0003,0.0002,0.0007
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales,0.0000,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales,0.0000,0.0006,0.0004,0.0001
Bacteria;Proteobacteria;Betaproteobacteria;Procabacteriales,0.0000,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales,0.0067,0.0044,0.0046,0.0050
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales,0.0006,0.0003,0.0003,0.0004
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales,0.0113,0.0115,0.0117,0.0156
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,0.0000,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,0.0001,0.0007,0.0003,0.0018
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales,0.0001,0.0010,0.0010,0.0012
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,0.0010,0.0008,0.0006,0.0015
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,0.0000,0.0007,0.0001,0.0001
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,0.0001,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;TA18;CV90,0.0000,0.0000,0.0001,0.0000
Bacteria;SR1;Other;Other,0.0006,0.0011,0.0035,0.0056
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.0020,0.0024,0.0020,0.0028
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.5095,0.4035,0.4553,0.4004
Bacteria;Synergistetes;Synergistia;Synergistales,0.0115,0.0045,0.0063,0.0045
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0053,0.0113,0.0041,0.0089
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0003,0.0000,0.0000,0.0000
Bacteria;Verrucomicrobia;Opitutae;Other,0.0000,0.0000,0.0000,0.0000
