Taxon,OM.0,OM.1,OM.2,OM.3
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales,0.0031,0.0034,0.0093,0.0041
Archaea;Euryarchaeota;Thermoplasmata;E2,0.0001,0.0001,0.0001,0.0001
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.0059,0.0055,0.0070,0.0044
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales,0.0000,0.0000,0.0000,0.0000
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales,0.0098,0.0107,0.0113,0.0079
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.1372,0.0953,0.2167,0.2445
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0.0001,0.0001,0.0006,0.0004
Bacteria;Bacteroidetes;Saprospirae;Saprospirales,0.0000,0.0000,0.0000,0.0000
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0.0000,0.0000,0.0000,0.0000
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,0.0002,0.0000,0.0001,0.0001
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,0.0011,0.0017,0.0025,0.0033
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales,0.1141,0.1217,0.0806,0.1043
Bacteria;Fibrobacteres;TG3;Other,0.0000,0.0000,0.0000,0.0000
Bacteria;Firmicutes;Bacilli;Other,0.0004,0.0001,0.0009,0.0002
Bacteria;Firmicutes;Bacilli;Lactobacillales,0.0056,0.0069,0.0187,0.0033
Bacteria;Firmicutes;Bacilli;Turicibacterales,0.0000,0.0000,0.0000,0.0000
Bacteria;Firmicutes;Clostridia;Clostridiales,0.1300,0.1058,0.1641,0.1341
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales,0.0004,0.0001,0.0003,0.0005
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,0.0012,0.0026,0.0038,0.0018
Bacteria;Planctomycetes;Other;Other,0.0003,0.0000,0.0002,0.0005
Bacteria;Planctomycetes;HA49;PeHg47,0.0000,0.0000,0.0000,0.0000
Bacteria;Planctomycetes;Planctomycetia;Pirellulales,0.0015,0.0013,0.0018,0.0013
Bacteria;Proteobacteria;Alphaproteobacteria;Other,0.0003,0.0007,0.0003,0.0008
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,0.0000,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Alphaproteobacteria;RF32,0.0009,0.0001,0.0023,0.0007
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,0.0001,0.0010,0.0009,0.0004
