Taxon,M.1,M.2,M.3,M.7,M.14,M.21,M.28,M.35,M.42,M.49
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales,0.0117,0.0078,0.0006,0.0037,0.0009,0.0293,0.0008,0.0043,0.0038,0.0022
Archaea;Euryarchaeota;Thermoplasmata;E2,0,0.0001,0.0002,0.0001,0,0,0,0.0005,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.0143,0.0125,0.0046,0.0071,0.007,0.0175,0.0062,0.0093,0.0258,0.0087
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales,0,0,0,0,0.0001,0,0,0,0,0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales,0.0119,0.0151,0.0053,0.0129,0.0087,0.0214,0.0048,0.0092,0.0094,0.0063
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.1839,0.2072,0.2093,0.2523,0.1635,0.2171,0.1221,0.2639,0.1826,0.1328
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0.0003,0.0005,0.0001,0.0074,0.0009,0.0021,0.0009,0.0007,0.0031,0.0002
Bacteria;Bacteroidetes;Saprospirae;Saprospirales,0,0,0,0,0,0,0,0.0001,0,0.0835
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0,0,0,0,0.0006,0.0005,0.0001,0.0001,0.0002,0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,0.0002,0.0001,0.0002,0,0.0001,0.0001,0,0,0.0001,0.0001
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,0.0023,0.0021,0.0007,0.0019,0.0017,0.0017,0.0009,0.0036,0.0029,0.0022
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales,0.1015,0.1044,0.1289,0.0925,0.1896,0.1436,0.2584,0.0901,0.1389,0.1295
Bacteria;Fibrobacteres;TG3;Other,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Other,0.0007,0.0003,0.0004,0.0001,0,0.0001,0,0,0.0014,0.0001
Bacteria;Firmicutes;Bacilli;Lactobacillales,0.0353,0.0131,0.0054,0.0087,0.0082,0.0197,0.0183,0.1983,0.027,0.0103
Bacteria;Firmicutes;Bacilli;Turicibacterales,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales,0.1613,0.1525,0.094,0.1877,0.1195,0.1017,0.0561,0.0565,0.1368,0.0812
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales,0.0002,0.0005,0,0.0004,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,0.0055,0.005,0.0005,0.0051,0.0063,0.0051,0.0008,0.0052,0.0066,0.0043
