Taxon,S.1,S.3,S.7,S.14,S.21,S.28,S.35,S.42,S.49
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales,0.0025,0.0023,0.0031,0.0102,0.0284,0.013,0.0038,0.0013,0.0008
Archaea;Euryarchaeota;Thermoplasmata;E2,0,0,0.0002,0,0,0,0.0004,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.0033,0.0065,0.0055,0.0091,0.0106,0.0051,0.0041,0.0038,0.0026
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales,0,0,0.0001,0.0006,0,0,0,0,0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales,0.0093,0.0053,0.0135,0.0079,0.0188,0.012,0.0144,0.0116,0.0045
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.2592,0.1647,0.1925,0.1687,0.1537,0.1727,0.1217,0.1263,0.1392
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0.0001,0,0.001,0.0013,0.0015,0.0001,0,0.002,0.0003
Bacteria;Bacteroidetes;Saprospirae;Saprospirales,0,0.0001,0,0,0,0,0.0005,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0,0,0,0.0003,0,0.0003,0,0,0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,0.0003,0.0004,0.0002,0.0001,0,0,0.0001,0,0
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,0.0013,0.0014,0.0027,0.0029,0.0015,0.0027,0.0037,0.0043,0.0039
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales,0.0729,0.0739,0.0909,0.2114,0.1731,0.2673,0.1628,0.3302,0.1309
Bacteria;Fibrobacteres;TG3;Other,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Other,0.0015,0.0002,0,0.0001,0,0.0001,0.0001,0.0125,0
Bacteria;Firmicutes;Bacilli;Lactobacillales,0.0059,0.0049,0.0056,0.0215,0.0082,0.0294,0.0243,0.0181,0.0048
Bacteria;Firmicutes;Bacilli;Turicibacterales,0,0,0.0001,0.0002,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales,0.1713,0.0954,0.1421,0.1023,0.0535,0.0654,0.0965,0.0908,0.0289
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales,0.0002,0,0.0004,0.0004,0.0001,0.0002,0,0,0.0003
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,0.0013,0.0021,0.0031,0.0057,0.0024,0.0025,0.0073,0.0025,0.0059
Bacteria;Planctomycetes;Other;Other,0.0001,0.0006,0.0009,0.0002,0.0004,0.0003,0.0003,0.0002,0.0001
Bacteria;Planctomycetes;HA49;PeHg47,0,0,0,0,0,0,0,0,0
Bacteria;Planctomycetes;Planctomycetia;Pirellulales,0.0019,0.0005,0.0023,0.0038,0.0013,0.001,0.0015,0.0014,0.0012
Bacteria;Proteobacteria;Alphaproteobacteria;Other,0.0003,0.0005,0.0004,0.0006,0.0001,0.0006,0.0044,0.0001,0.0011
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,0,0.0021,0.0001,0,0,0,0.0059,0.0007,0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32,0.0009,0.0002,0.0005,0.0006,0.0005,0.0001,0,0.0004,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,0.0007,0,0.0004,0,0,0,0,0.0021,0.0001
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,0.0007,0.0002,0.0007,0.0001,0.0001,0.0005,0.002,0.0015,0.0121
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,0.01,0.0084,0.0094,0.0105,0.0088,0.0085,0.0062,0.0049,0.0044
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,0.0009,0,0.0001,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,0.0005,0.0069,0.0009,0.0007,0.0009,0.0007,0.0129,0.0043,0.0125
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales,0.0001,0.0007,0.0004,0.0004,0,0.0001,0.0003,0.0001,0.383
Bacteria;Proteobacteria;Betaproteobacteria;Procabacteriales,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales,0.0118,0.0137,0.0099,0.0041,0.0085,0.007,0.0081,0.0059,0.0078
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales,0.0005,0.0001,0.0009,0.0005,0.0002,0.0005,0.0002,0.0003,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales,0.0166,0.0276,0.0216,0.024,0.0135,0.0149,0.0422,0.0159,0.0201
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,0.0235,0,0,0,0,0,0,0.0001,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,0.0001,0.0015,0.0003,0.0002,0.0002,0.0025,0.0042,0.0065,0.0024
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales,0.0013,0.0006,0.0011,0.0013,0.0003,0.0004,0.0007,0.0024,0.0017
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,0.0003,0.0037,0.0006,0.0005,0.0004,0.0022,0.009,0.0105,0.0027
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,0.0001,0.0003,0.0001,0.0004,0.0001,0.0001,0,0.0005,0.0002
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,0,0.0005,0,0,0,0,0.0043,0.0003,0
Bacteria;Proteobacteria;TA18;CV90,0.0002,0,0.0001,0,0,0.0001,0,0,0
Bacteria;SR1;Other;Other,0.0021,0.0015,0.0021,0.0024,0.0017,0.0018,0.0039,0.0014,0.0034
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.002,0.0023,0.0024,0.003,0.0009,0.0008,0.0005,0.0008,0.0004
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.3578,0.5311,0.4433,0.3667,0.4819,0.3647,0.4255,0.3109,0.1999
Bacteria;Synergistetes;Synergistia;Synergistales,0.0153,0.0125,0.0179,0.0106,0.0055,0.0049,0.0081,0.0046,0.002
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0046,0.0026,0.0027,0.0097,0.0062,0.0037,0.0049,0.0056,0.0091
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0013,0.0009,0.0009,0.0001,0,0,0.0003,0.0001,0.0001
Bacteria;Verrucomicrobia;Opitutae;Other,0.0001,0.0001,0,0,0,0,0,0,0
Bacteria;Verrucomicrobia;Opitutae;HA64,0.001,0.0011,0.0008,0.0017,0.0032,0.0028,0.0007,0.0017,0.0015
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0.0001,0.0001,0.0001,0.0001,0,0,0.0002,0.0001,0.0001
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.0011,0.0015,0.0007,0.0001,0,0,0.0002,0,0.0002
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0,0,0.0012,0.0004,0,0,0,0,0
Bacteria;ZB3;Rs-J96;Other,0.0009,0.0013,0.0005,0.0003,0.0008,0.0013,0.0009,0.0003,0
Unassigned;Other;Other;Other,0.0141,0.0197,0.0156,0.0142,0.0127,0.0097,0.0129,0.013,0.0118
Birch,0,0,0,0,0,0,0,0,0
Cardboard,0,0,0,0,0,0,0,0,0
Maple,0,0,0,0,0,0,0,0,0
Oak,0,0,0,0,0,0,0,0,0
Original Mulch,0,0,0,0,0,0,0,0,0
Spruce,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
