Taxon,ST.1,ST.2,ST.3,ST.7,ST.14,ST.21
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales,0.0061,0.005,0.0035,0.0064,0.0044,0.0002
Archaea;Euryarchaeota;Thermoplasmata;E2,0.0003,0.0001,0.0008,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.0042,0.0081,0.0019,0.0032,0.0121,0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales,0,0,0.0001,0,0.0008,0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales,0.0076,0.0191,0.0043,0.011,0.011,0.0026
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.1472,0.1688,0.2837,0.3018,0.4465,0.2684
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0.0001,0.0018,0.0009,0.099,0.0209,0.0642
Bacteria;Bacteroidetes;Saprospirae;Saprospirales,0,0,0,0.0008,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0,0,0,0.001,0.0073,0.004
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,0.0001,0.0001,0.0006,0,0.0001,0
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,0.0022,0.0026,0.0035,0.0042,0.0049,0
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales,0.0833,0.0506,0.0805,0.0196,0.0205,0.0042
Bacteria;Fibrobacteres;TG3;Other,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Other,0.0001,0.0014,0.0002,0.0038,0.0027,0.0036
Bacteria;Firmicutes;Bacilli;Lactobacillales,0.031,0.0089,0.0037,0.0152,0.0192,0.0972
Bacteria;Firmicutes;Bacilli;Turicibacterales,0,0,0,0,0.0007,0
Bacteria;Firmicutes;Clostridia;Clostridiales,0.1751,0.1866,0.1683,0.1762,0.1142,0.1122
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales,0.0001,0.0002,0.0001,0.0002,0.0007,0.0002
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,0.0027,0.0022,0.0007,0.0048,0.0027,0.0026
Bacteria;Planctomycetes;Other;Other,0.0007,0.0004,0.0002,0.0004,0.0003,0
Bacteria;Planctomycetes;HA49;PeHg47,0,0,0,0,0,0
Bacteria;Planctomycetes;Planctomycetia;Pirellulales,0.0024,0.0026,0.0007,0.003,0.0015,0
Bacteria;Proteobacteria;Alphaproteobacteria;Other,0.0005,0.0002,0.0006,0.0002,0.0001,0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,0,0,0,0.0052,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32,0,0.0005,0.0009,0.0006,0.0008,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,0.0009,0.0014,0.0006,0.0002,0,0.0002
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,0.0015,0.0011,0.0233,0.0004,0.0101,0.0012
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,0.0068,0.0102,0.0105,0.003,0.0047,0.0002
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,0.0009,0.0009,0.0001,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,0.0007,0.0014,0.0029,0.0362,0.017,0.066
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales,0,0,0.0059,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales,0.0005,0.0008,0.0004,0,0.0001,0
Bacteria;Proteobacteria;Betaproteobacteria;Procabacteriales,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales,0.0117,0.0216,0.0133,0.0064,0.0119,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales,0.0008,0.0017,0.0004,0.0008,0.0006,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales,0.013,0.0169,0.0299,0.0198,0.0446,0.0142
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,0,0,0.0015,0,0.0001,0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,0.0005,0.0043,0.0025,0.006,0.0051,0.0914
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales,0.0004,0.0042,0.0003,0.006,0.0119,0.1792
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,0.0005,0.007,0.0026,0.0108,0.0067,0.0658
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,0,0.0056,0.0005,0.0182,0.0244,0.0058
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,0,0.0001,0,0.0048,0,0
Bacteria;Proteobacteria;TA18;CV90,0.0007,0.0004,0.0002,0,0,0.0002
Bacteria;SR1;Other;Other,0.0021,0.0048,0.0005,0.0142,0.0032,0
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.0025,0.0017,0.0019,0.0006,0.0012,0
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.4498,0.4145,0.315,0.1752,0.1378,0.0108
Bacteria;Synergistetes;Synergistia;Synergistales,0.0115,0.0116,0.0064,0.031,0.0341,0.0048
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0024,0.0032,0.0047,0.0004,0.0017,0
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0011,0.003,0.0011,0.0008,0.0001,0
Bacteria;Verrucomicrobia;Opitutae;Other,0,0,0.0001,0.0002,0,0
Bacteria;Verrucomicrobia;Opitutae;HA64,0.0018,0.0013,0.0023,0.0004,0.0003,0
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0.0001,0.0005,0.0002,0,0,0
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.0022,0.004,0.0006,0.0014,0.0002,0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0,0,0,0,0.0008,0.0004
Bacteria;ZB3;Rs-J96;Other,0.0004,0.0001,0.0007,0,0.0002,0
Unassigned;Other;Other;Other,0.0185,0.0166,0.0066,0.0119,0.0004,0.0004
Birch,0,0,0,0,0,0
Cardboard,0,0,0,0,0,0
Maple,0,0,0,0,0,0
Oak,0,0,0,0,0,0
Original Mulch,0,0,0,0,0,0
Spruce,0,0,0,0,0,0
