Taxon,OM.14,OM.21,OM.28,OM.35,OM.42,OM.49
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales,0.0027,0.0093,0.0011,0.0018,0.0021,0.0014
Archaea;Euryarchaeota;Thermoplasmata;E2,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.0267,0.0107,0.0073,0.0068,0.0073,0.0064
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales,0.0075,0.0070,0.0111,0.0071,0.0073,0.0041
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.2219,0.2316,0.2529,0.1902,0.2885,0.1668
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0.0002,0.0011,0.0001,0.0009,0.0003,0.0003
Bacteria;Bacteroidetes;Saprospirae;Saprospirales,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0.0001,0.0001,0.0000,0.0000,0.0001,0.0000
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,0.0000,0.0001,0.0001,0.0002,0.0001,0.0000
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,0.0031,0.0050,0.0054,0.0029,0.0051,0.0043
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales,0.1195,0.1416,0.1146,0.1277,0.1166,0.1148
Bacteria;Fibrobacteres;TG3;Other,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bacteria;Firmicutes;Bacilli;Other,0.0001,0.0000,0.0002,0.0005,0.0000,0.0001
Bacteria;Firmicutes;Bacilli;Lactobacillales,0.0089,0.0104,0.0081,0.0031,0.0069,0.0032
Bacteria;Firmicutes;Bacilli;Turicibacterales,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
Bacteria;Firmicutes;Clostridia;Clostridiales,0.1769,0.1353,0.1385,0.1327,0.1463,0.2041
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales,0.0005,0.0003,0.0003,0.0001,0.0001,0.0000
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,0.0029,0.0028,0.0010,0.0009,0.0013,0.0032
Bacteria;Planctomycetes;Other;Other,0.0003,0.0001,0.0003,0.0002,0.0003,0.0003
Bacteria;Planctomycetes;HA49;PeHg47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bacteria;Planctomycetes;Planctomycetia;Pirellulales,0.0031,0.0047,0.0017,0.0024,0.0045,0.0014
Bacteria;Proteobacteria;Alphaproteobacteria;Other,0.0001,0.0003,0.0007,0.0005,0.0006,0.0009
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
Bacteria;Proteobacteria;Alphaproteobacteria;RF32,0.0007,0.0005,0.0007,0.0003,0.0007,0.0007
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,0.0009,0.0009,0.0007,0.0004,0.0013,0.0006
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,0.0069,0.0117,0.0056,0.0052,0.0086,0.0062
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,0.0015,0.0009,0.0021,0.0006,0.0007,0.0011
