Taxon,ST.14,ST.21
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales,0.0044,0.0002
Archaea;Euryarchaeota;Thermoplasmata;E2,0.0000,0.0000
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.0121,0.0000
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales,0.0008,0.0000
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales,0.0110,0.0026
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.4465,0.2684
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0.0209,0.0642
Bacteria;Bacteroidetes;Saprospirae;Saprospirales,0.0000,0.0000
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0.0073,0.0040
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,0.0001,0.0000
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,0.0049,0.0000
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales,0.0205,0.0042
Bacteria;Fibrobacteres;TG3;Other,0.0000,0.0000
Bacteria;Firmicutes;Bacilli;Other,0.0027,0.0036
Bacteria;Firmicutes;Bacilli;Lactobacillales,0.0192,0.0972
Bacteria;Firmicutes;Bacilli;Turicibacterales,0.0007,0.0000
Bacteria;Firmicutes;Clostridia;Clostridiales,0.1142,0.1122
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales,0.0007,0.0002
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,0.0027,0.0026
Bacteria;Planctomycetes;Other;Other,0.0003,0.0000
Bacteria;Planctomycetes;HA49;PeHg47,0.0000,0.0000
Bacteria;Planctomycetes;Planctomycetia;Pirellulales,0.0015,0.0000
Bacteria;Proteobacteria;Alphaproteobacteria;Other,0.0001,0.0000
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,0.0000,0.0000
Bacteria;Proteobacteria;Alphaproteobacteria;RF32,0.0008,0.0000
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,0.0000,0.0002
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,0.0101,0.0012
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,0.0047,0.0002
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,0.0170,0.0660
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales,0.0001,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Procabacteriales,0.0000,0.0000
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales,0.0119,0.0000
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales,0.0006,0.0000
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales,0.0446,0.0142
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,0.0001,0.0000
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,0.0051,0.0914
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales,0.0119,0.1792
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,0.0067,0.0658
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,0.0244,0.0058
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,0.0000,0.0000
Bacteria;Proteobacteria;TA18;CV90,0.0000,0.0002
Bacteria;SR1;Other;Other,0.0032,0.0000
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.0012,0.0000
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.1378,0.0108
Bacteria;Synergistetes;Synergistia;Synergistales,0.0341,0.0048
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0017,0.0000
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0001,0.0000
Bacteria;Verrucomicrobia;Opitutae;Other,0.0000,0.0000
Bacteria;Verrucomicrobia;Opitutae;HA64,0.0003,0.0000
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0.0000,0.0000
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.0002,0.0000
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0.0008,0.0004
Bacteria;ZB3;Rs-J96;Other,0.0002,0.0000
Unassigned;Other;Other;Other,0.0119,0.0004
Birch,0.0000,0.0000
Cardboard,0.0000,0.0000
Maple,0.0000,0.0000
Oak,0.0000,0.0000
Original Mulch,0.0000,0.0000
Spruce,0.0000,0.0000
